title,source_org,url,corpus_category,region_scope,user_persona,purpose,accessibility_relevant,e-bike_focused,employment_required,budget_band,source_type,date_added,last_checked,status,rationale,external_links
Borrow an e-bike,TfGM,https://beeactive.tfgm.com/borrow-an-ebike,schemes,greater_manchester,fence_sitter;occasional_cyclist,commuting;leisure;errands,false,true,false,free,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://www.cyclinguk.org/borrow-ebike;https://www.facebook.com/beenetworkgm;https://www.fia.uk.com/news/a-guide-to-reducing-fire-risks-when-charging-e-bikes-and-e-scooters.html;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.youtube.com/beenetworkgm
Cycling more regularly - having fun and building confidence,TfGM,https://beeactive.tfgm.com/cycling/cycling-more-regularly,general,greater_manchester,occasional_cyclist,commuting;leisure;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/cycling-district-maps;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://tfgm.pindarcreative.co.uk;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.sustrans.org.uk/our-blog/get-active/2019/everyday-walking-and-cycling/how-to-choose-the-right-bike-for-you;https://www.youtube.com/beenetworkgm
Cycle hubs,TfGM,https://beeactive.tfgm.com/cycling/cycle-hubs,infrastructure,greater_manchester,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://activetravel.tfgm.com/schemes/bolton/bolton-interchange-cycle-hub/;https://activetravel.tfgm.com/schemes/bury/bury-interchange-cycle-hub/;https://activetravel.tfgm.com/schemes/manchester/city-tower-cycle-hub;https://activetravel.tfgm.com/schemes/manchester/east-didsbury-metrolink-cycle-hub/;https://activetravel.tfgm.com/schemes/rochdale/rochdale-town-centre-cycle-hub/;https://activetravel.tfgm.com/schemes/salford/irlam-rail-station-cycle-hub/;https://activetravel.tfgm.com/schemes/salford/mediacityuk-cycle-hub;https://activetravel.tfgm.com/schemes/stockport/stockport-town-centre-cycle-hub/;https://activetravel.tfgm.com/schemes/tameside/ashton-under-lyne-interchange-cycle-hub/;https://activetravel.tfgm.com/schemes/trafford/altrincham-interchange-cycle-hub/;https://activetravel.tfgm.com/schemes/trafford/sale-metrolink-cycle-hub/;https://activetravel.tfgm.com/schemes/wigan/leigh-bus-station-cycle-hub/;https://news.tfgm.com;https://secure.cycling.tfgm.com/home.faces;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://www.facebook.com/beenetworkgm;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.youtube.com/beenetworkgm
Starling Bikes FAQs,TfGM,https://beeactive.tfgm.com/cycle-hire-faqs,schemes,manchester;trafford;salford,fence_sitter;occasional_cyclist;regular_cyclist,commuting;errands,false,true,false,low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://activetravel.tfgm.com/bee-network-cycle-hire;https://activetravel.tfgm.com/cycle-hire;https://activetravel.tfgm.com/cycling/courses-and-bike-maintenance;https://beryl.app.link/NSDinTe52kb;https://beryl.cc;https://beryl.cc/bikeshare/download;https://help-bikes.beryl.cc/en/articles/3321579-contact-us;https://manchester.beryl.cc;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://what3words.com/pretty.needed.chill;https://www.facebook.com/beenetworkgm;https://www.gmp.police.uk/contact/af/contact-us;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.youtube.com/beenetworkgm
Apply for Cycle Hub membership,TfGM,https://secure.cycling.tfgm.com/home.faces,infrastructure,greater_manchester,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Cycle Training Upcoming Courses,TfGM,https://cycletraining.tfgm.com/PublicBooking/Index,schemes,greater_manchester,non_cyclist;fence_sitter,commuting;leisure;errands,false,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,na
Bolton Interchange Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/bolton/bolton-interchange-cycle-hub/,infrastructure,bolton,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Bury Interchange Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/bury/bury-interchange-cycle-hub/,infrastructure,bury,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
City Tower Interchange Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/manchester/city-tower-cycle-hub/,infrastructure,manchester,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
East Didsbury Metrolink Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/manchester/east-didsbury-metrolink-cycle-hub/,infrastructure,manchester,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Rochdale Town Centre Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/rochdale/rochdale-town-centre-cycle-hub/,infrastructure,rochdale,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Irlam Rail Station Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/salford/irlam-rail-station-cycle-hub/,infrastructure,salford,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
MediaCityUK Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/salford/mediacityuk-cycle-hub/,infrastructure,salford,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Stockport Town Centre Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/stockport/stockport-town-centre-cycle-hub/,infrastructure,stockport,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Ashton-under-Lyne Interchange Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/tameside/ashton-under-lyne-interchange-cycle-hub/,infrastructure,tameside,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Altrincham Interchange Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/trafford/altrincham-interchange-cycle-hub/,infrastructure,trafford,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Sale Metrolink Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/trafford/sale-metrolink-cycle-hub/,infrastructure,trafford,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Leigh Bus Station Cycle Hub,TfGM,https://beeactive.tfgm.com/schemes/wigan/leigh-bus-station-cycle-hub/,infrastructure,wigan,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Bike Share,Beryl,https://manchester.beryl.cc/,schemes,manchester;trafford;salford,fence_sitter;occasional_cyclist;regular_cyclist,commuting;errands,false,true,false,low_cost,official,2026/06/29,2026/06/29,active,,na
Home,Manchester Bike Kitchen,https://www.mcrbikekitchen.co.uk/,general,tameside,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,low_cost;mid_range,third-party,2026/06/29,2026/06/29,active,,na
Home,Platt Fields Bike Hub,https://plattfieldsbikehub.org.uk/,general,manchester,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost;mid_range,third-party,2026/06/29,2026/06/29,active,,na
Manchester Shop,Cyclists Fighting Cancer,https://cyclistsfc.org.uk/our-charity-bike-shops/manchester-shop/,general,manchester,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost;mid_range,third-party,2026/06/29,2026/06/29,active,,na
Home,Cycle 2 Health Hub,https://www.cycle2health.co.uk/,general,bolton,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Positive Cycles and Ability Wheelz,Positive Steps,https://positive-steps.org.uk/services/positive-cycles/,accessibility,manchester,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;mid_range,third-party,2026/06/29,2026/06/29,active,,na
Brick Re-Use,The Brick,https://thebrick.org.uk/our-work/brick-re-use/,general,wigan,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,The Urban Cycle Centre,https://www.urbancyclecentre.co.uk/#close,general,bury,occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;mid_range,third-party,2026/06/29,2026/06/29,active,,na
Home,Bike Hive Manchester,https://bikehivemanchester.wordpress.com/,general,manchester,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,CERA Cycloan,https://www.ceracycloan.co.uk/,general,stockport,non_cyclist;fence_sitter,commuting;leisure;errands,true,false,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Find a shop,The Cycle Experts,https://www.thecyclingexperts.co.uk/find-a-shop/,general,national,occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free,third-party,2026/06/29,2026/06/29,active,,na
Home,Manchester Bikes,https://www.manchesterbikes.co.uk/,schemes,greater_manchester,fence_sitter;occasional_cyclist;regular_cyclist,leisure;errands,false,true,false,mid_range,third-party,2026/06/29,2026/06/29,active,,na
Bike Hire,Manchester Bikes,https://www.manchesterbikes.co.uk/bike-hire/bike-hire-create-your-booking-here/,schemes,greater_manchester,fence_sitter;occasional_cyclist;regular_cyclist,leisure;errands,false,true,false,mid_range,third-party,2026/06/29,2026/06/29,active,,na
Manchester,Brompton Bike Hire,https://bromptonhire.com/locations/manchester/,schemes,greater_manchester,occasional_cyclist;regular_cyclist,commuting;leisure,false,false,false,mid_range,third-party,2026/06/29,2026/06/29,active,,na
Borrow an e-bike booking,Cycling UK,https://www.cyclinguk.org/borrow-ebike,schemes,greater_manchester,fence_sitter;occasional_cyclist,commuting;leisure;errands,false,true,false,free,third-party,2026/06/29,2026/06/29,active,,na
Locations,Wheels for All,https://wheelsforall.org.uk/locations,accessibility,greater_manchester,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,Simply Cycling,https://simply-cycling.org/,accessibility,greater_manchester,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,Bury Tandem Club,https://www.bury-tandem-club.org/,accessibility,bury,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Wheelers Accessible Cycling,Supportability,https://www.supportability.org.uk/services/wheelers/,accessibility,stockport,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,Seashell,https://www.seashelltrust.org.uk/,accessibility,national,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Home,Cycling without Age,https://cyclingwithoutage.org.uk/,accessibility,national,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Cycling,British Blind Sport,https://britishblindsport.org.uk/az/cycling,accessibility,national,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Inclusive and non-standard cycling,Cycling UK,https://www.cyclinguk.org/advice/inclusive-non-standard-cycling,accessibility,national,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost,third-party,2026/06/29,2026/06/29,active,,na
Riding an electric bike: the rules,Gov UK,https://www.gov.uk/electric-bike-rules,schemes,national,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,false,true,false,mid_range;high_investment,official,2026/06/29,2026/06/29,active,,na
Cycle to work scheme implementation guidance for employers,"Department for Transport, Gov UK",https://www.gov.uk/government/publications/cycle-to-work-scheme-implementation-guidance,schemes,national,occasional_cyclist;regular_cyclist,commuting,false,false,true,mid_range;high_investment,official,2026/06/29,2026/06/29,active,,na
